gamma,error_L2,error_Linfty
0.0,0.00018137163033715337,0.0046406488872287035
0.03103448275862069,0.00016113821362319543,0.007268719697204775
0.06206896551724138,0.00014293257281338393,0.003904467293894197
0.09310344827586206,0.00012661734223649466,0.006051761477707227
0.12413793103448276,0.00011207013536065774,0.0032463371868126797
0.15517241379310345,9.917567078632756e-05,0.0049374075027924505
0.18620689655172412,8.782277683488914e-05,0.0026385737453177853
0.21724137931034482,7.790386908572781e-05,0.00391056250668977
0.2482758620689655,6.931561243945972e-05,0.003431084416013734
0.2793103448275862,6.196005504630323e-05,0.0018107712524780418
0.3103448275862069,5.574583481208916e-05,0.0015606032226157388
0.3413793103448276,5.058927445169565e-05,0.0013257927726703913
0.37241379310344824,4.641537051472989e-05,0.0011079631864228793
0.40344827586206894,4.314318015186573e-05,0.0009086366288186517
0.43448275862068964,4.06806767497373e-05,0.0007291200071418999
0.46551724137931033,3.902479766859296e-05,0.0008976462687553549
0.496551724137931,3.816593367355552e-05,0.0006755686959301958
0.5275862068965517,3.810616061250228e-05,0.0003171542286916212
0.5586206896551724,3.887286973945641e-05,0.00022265208480523886
0.5896551724137931,4.0536884326668676e-05,0.00022532280451568806
0.6206896551724138,4.323251904222943e-05,0.00010643864360071129
0.6517241379310345,4.7189791590476414e-05,8.218668225172532e-05
0.6827586206896552,5.278902836568843e-05,8.236805829942018e-05
0.7137931034482758,6.0660824223836194e-05,8.94900769803364e-05
0.7448275862068965,7.187973567503458e-05,0.00010271694340402426
0.7758620689655172,8.836615391542245e-05,0.00012412271524597784
0.8068965517241379,0.00011380003818255678,0.00015913754147794945
0.8379310344827586,0.00015593507494837748,0.00021943007406272086
0.8689655172413793,0.0002349558817491679,0.0027747826968596637
0.9,0.0016388604896938528,0.023665725666653342
