r,w
0.0,0.001620304325602062
0.0017465490229180967,0.00031887111089418124
0.0025794093687250283,0.00011896123850486344
0.003205739629737656,8.660025988010548e-05
0.0034110245561789357,8.660025988010548e-05
0.003522374524336201,2.830815418845341e-05
0.003967809748030481,2.8308154188453405e-05
0.004187564463201644,2.8308154188453374e-05
0.004866025507393402,1.333904564021566e-05
0.006344230240114103,9.490995310554697e-06
0.00689903476605542,9.028596415093528e-06
0.007781045864630376,6.858031540218677e-06
0.008025467150170317,6.493858140293874e-06
0.00802624342619083,5.949408547897175e-06
0.00807759759906521,5.949408547897175e-06
0.008339408705203217,5.949408547897175e-06
0.00839453373115713,5.3923188753989745e-06
0.008779394818103992,5.342295432493786e-06
0.009516156510952514,5.160744634263033e-06
0.009705150682081139,4.979617023339497e-06
0.009921265015989274,4.979617023339496e-06
0.01075108624363596,4.832122143586986e-06
0.012132692529761088,4.832122143586984e-06
0.013181491879998437,4.497644215757298e-06
0.013939719643421396,4.428929087525872e-06
0.01498462560290228,4.3912794166866105e-06
0.0158042437196548,4.259056267333586e-06
0.016309284055895157,4.259056267333585e-06
0.016455549373923194,4.259056267333584e-06
0.01663435754012392,3.780680743266156e-06
0.01664659244343061,3.7806807432661557e-06
0.01697590881897425,3.7806807432661553e-06
0.017614184635988413,3.597870746580119e-06
0.018119289257700347,3.555590365165961e-06
0.01911050856854043,3.5526120318625982e-06
0.019357096545661017,3.499038499894456e-06
0.019866578894972547,3.372664706242036e-06
0.021241038779235836,3.3164194791991126e-06
0.02286710905664345,3.139818355247731e-06
0.022930902466560276,3.139818355247731e-06
0.023183533939289673,3.139818355247731e-06
0.0244847348386383,2.9589341206540812e-06
0.024698384666328375,2.9589341206540812e-06
0.02519752638520916,2.8270793988756335e-06
0.025761056402005468,2.8030932690783878e-06
0.025792304702439497,2.8030932690783835e-06
0.026238822612910523,2.7284994742522576e-06
0.0266441644614297,2.6225921741336913e-06
0.026690121267213627,2.6135510798849647e-06
0.026839841719723794,2.6135510798849647e-06
0.02789130002855151,2.611272016998008e-06
0.028272319260541173,2.5649536824165415e-06
0.030673000549466138,2.510546177476909e-06
0.031017128557101297,2.359157612504237e-06
0.03210374234422929,2.353689123568591e-06
0.032739789798129366,2.233661784199866e-06
0.032851331581394354,2.1851389429057417e-06
0.03317620536642681,2.1851389429057417e-06
0.033574603312964496,2.1397053541562888e-06
0.03536704194078888,2.1397053541562888e-06
0.03560051581207244,1.985947632852631e-06
0.03571844688885803,1.979688955896733e-06
0.036054592370073336,1.9796889558967327e-06
0.036774034354045346,1.9796889558967323e-06
0.03680328327871739,1.941175815804394e-06
0.03689553287851199,1.8979781664741401e-06
0.038348475797906484,1.89797816647414e-06
