r,w
0.0,0.00022123067174221244
0.002842012695834415,0.00022123067174221239
0.0030382923159353484,4.057133836661666e-06
0.0032468266203248696,4.057133836661648e-06
0.003998182630741487,3.997773713920062e-06
0.006418298679481536,3.847736818091018e-06
0.006432716942011483,3.6005092055908677e-06
0.006874910354247928,3.468443076862783e-06
0.007188249124573511,2.255514560822975e-06
0.007799996801512915,2.1691303068049995e-06
0.007844188279494714,2.066574105612523e-06
0.009735132125334651,2.0665741056125224e-06
0.010807693873702862,2.056668533847616e-06
0.011542436628514287,1.967558283387498e-06
0.012030702249940984,1.959405302003444e-06
0.014330187309605995,1.6841288757305868e-06
0.015141289284490815,1.6411294863535254e-06
0.01563508955764496,1.6411294863535252e-06
0.01649400021722153,1.0907255113076973e-06
0.016678461530885244,9.968137841193202e-07
0.017119470295579163,9.505851495313316e-07
0.017961677011221085,9.150610898695131e-07
0.019987544191323797,9.150610898695125e-07
0.020385377239824212,8.693521655513629e-07
0.02066419104891056,8.693521655513627e-07
0.023401825575203008,8.693521655513625e-07
0.023812448212188864,8.533652507008117e-07
0.024143690457534086,8.533652507008117e-07
0.02447280702843999,8.533652507008114e-07
0.025111878319063446,8.359163247234554e-07
0.027277665486780248,8.359163247234553e-07
0.02791186732065855,8.359163247234552e-07
0.029869663423782108,8.170467062602864e-07
0.031277865285795604,8.170467062602859e-07
0.03159178702480747,8.170467062602858e-07
0.03202111894982216,8.027492273647727e-07
0.032432659232073204,7.822936689609008e-07
0.03334753259617401,7.822936689609003e-07
0.03529262857329187,7.129257818183792e-07
0.03741041130544579,6.57831175513793e-07
0.03748888832569443,6.541181147188122e-07
0.037812862878127115,5.920615926337745e-07
0.037838938531778964,5.200142579436314e-07
0.040270224227456,5.200142579436313e-07
0.041352834878507744,5.045872787979138e-07
0.04175780824722346,5.045872787979137e-07
0.04245666623878696,4.97386356791202e-07
0.04314773569140534,4.819392789883472e-07
0.04458361468311523,4.803901741419997e-07
0.04714911744141356,4.773822068851416e-07
0.04737512163603746,4.711159378560851e-07
0.04770887484023702,4.6669250010290367e-07
0.049236097133043874,4.6649671725441106e-07
0.049501585421769856,4.593603614144552e-07
0.051570226766216004,4.395859108167834e-07
0.05260973522889059,4.018647456721116e-07
0.052968485021172754,3.8760585292179806e-07
0.05300584056499577,3.8760585292179806e-07
0.054134066677608776,3.796310383379463e-07
0.05430735528524483,3.726337102876117e-07
0.05446921762985207,3.614430059594757e-07
0.055809992222310895,3.2251309944976794e-07
0.05605529657476809,3.131686164954643e-07
0.0566915993283298,3.131686164954643e-07
0.05897984562048148,3.055258323399597e-07
0.058992511985222394,3.0552583233995956e-07
0.06194890269681525,3.0304388664429234e-07
0.06249515673029499,3.030438866442921e-07
0.06391408442983691,3.0304388664429197e-07
0.06427678550542054,2.87700395893959e-07
0.06433036036990232,2.87700395893959e-07
0.06513213599252822,2.87700395893959e-07
0.06550203464875862,2.8340284690076407e-07
0.06621157320026236,2.8340284690076407e-07
0.06708680440351662,2.7437144292379714e-07
0.06713783191209133,2.743714429237971e-07
0.06757453744035624,2.7437144292379703e-07
0.06947906164984673,2.7159331313289133e-07
0.06949667778060656,2.71115552577679e-07
0.07025016672611864,2.5172967345149537e-07
0.0708906285189114,2.302238635141043e-07
0.07571980261681768,2.280869863964518e-07
0.07577722603041752,2.2323455345962516e-07
0.07641280372622808,2.1767800725542027e-07
0.07707228818482428,2.1512112283537778e-07
0.0776585561897713,2.1512112283537164e-07
0.07782268933525317,2.1134236255833948e-07
0.07805427626096902,2.1124864467985746e-07
0.07849810552663966,2.1124864467985585e-07
0.07865009401161278,1.8710378150595918e-07
0.07917801829144049,1.8447470686335629e-07
0.07931161091615176,1.8190154091726236e-07
0.07964546665534078,1.807085068909682e-07
0.08122614682642558,1.8070850689096816e-07
0.08276740909963945,1.7967373982979604e-07
0.08438207735346352,1.6474597399645982e-07
0.08466514319356537,1.6441289123789236e-07
0.08505124241414429,1.6441289123789228e-07
0.08574600838915426,1.6431459625178884e-07
0.08608510962865387,1.6203335259706186e-07
0.08672549398239371,1.5231985533966639e-07
0.08704351005279544,1.4707556384197472e-07
0.08725752114642768,1.470755638419747e-07
0.08729636070776126,1.4707556384197467e-07
0.08781873685174359,1.458133951544127e-07
0.0878237718405296,1.3723876510307758e-07
0.08786777324458289,1.1424356798794026e-07
0.0897775275532036,1.0223372481072111e-07
0.08977901399225383,1.0170096729718138e-07
0.0921977027225125,9.977319891758626e-08
0.09472117348129695,9.535167480018296e-08
0.095569607576218,7.90946066629822e-08
0.09659072352524528,7.909460666298219e-08
0.09674219222654035,7.90946066629821e-08
0.09772153215080635,7.762921544973827e-08
0.09791133040992243,7.420492863725952e-08
0.09893130614813839,7.42049286372595e-08
0.0993593863084536,7.420492863725949e-08
