gamma,error_L2,error_Linfty
0.15517241379310345,9.917567078632756e-05,0.0049374075027924505
0.18620689655172412,8.782277683488914e-05,0.0026385737453177853
0.21724137931034482,7.790386908572781e-05,0.00391056250668977
0.2482758620689655,6.931561243945972e-05,0.003431084416013734
0.2793103448275862,6.196005504630323e-05,0.0018107712524780418
0.3103448275862069,5.574583481208916e-05,0.0015606032226157388
0.3413793103448276,5.058927445169565e-05,0.0013257927726703913
0.37241379310344824,4.641537051472989e-05,0.0011079631864228793
0.40344827586206894,4.314318015186573e-05,0.0009086366288186517
0.43448275862068964,4.06806767497373e-05,0.0007291200071418999
0.46551724137931033,2.5320237520894287e-06,0.00019865546281269445
