r,w
0.0,5.270272973177507
0.0015926958509404222,1.6761596806726222
0.0017061523785239405,0.4146717299938835
0.00228032173950212,0.4146717299938831
0.0031628774954274835,0.00017880321130896165
0.0033101909627160394,7.315194504952333e-05
0.003546124229448603,5.824670255443319e-05
0.00426135727500842,3.791658786327394e-05
0.005120530686781853,3.4896514731937845e-05
0.005345755588253515,2.998339522534655e-05
0.006284158366195052,2.8339378955158053e-05
0.006504217081990423,2.6625305185776908e-05
0.00685014943255281,2.6625305185776905e-05
0.007224323376961551,2.6625305185776905e-05
0.008164885235128328,2.4984272206848367e-05
0.008400634998162309,2.498427220684836e-05
0.008458848897233886,2.498427220684836e-05
0.00935842051545602,2.2808819763801633e-05
0.009660919271795331,2.280881976380163e-05
0.010383433069265643,2.280881976380163e-05
0.010515616862224093,2.2064885718349678e-05
0.010593650251281884,2.1902962138488606e-05
0.013242334114652853,2.0067043799322926e-05
0.013245467926390607,1.7814310666996193e-05
0.014539071363822513,1.7592756265615538e-05
0.01532379525743412,1.759275626559252e-05
0.015630339931598135,1.3541235079016184e-05
0.017554538128787947,1.1297342994690108e-05
0.018874639916523425,9.933217177236531e-06
0.019068273435411984,9.380372913405616e-06
0.01955859284037209,9.380372913405615e-06
0.0201570102890135,8.228647862738811e-06
0.02108181435888116,7.060697508013604e-06
0.02116127518588984,7.026941673037747e-06
0.02173852004950404,7.026941673037745e-06
0.023531757578444036,7.026941673037744e-06
0.023562048225488838,5.935324643616879e-06
0.025603635521949882,5.9353246435363195e-06
0.025718096146907128,5.707418938359054e-06
0.026134426693674422,5.569752203716428e-06
0.026624050546467708,5.232626764301621e-06
0.02671086515843484,5.232626764301621e-06
0.026783582478937317,5.1977106097567325e-06
0.027464078164282747,4.943864009367166e-06
0.027764374559115367,4.6141723334851145e-06
0.0291003864870193,4.614172333485114e-06
0.030990242439626944,4.393938663852024e-06
0.032829151675126574,4.368402953202252e-06
0.033375096902443606,3.982928021397638e-06
0.034864728059772296,3.904248889359984e-06
0.03574157420207581,3.878409194646252e-06
0.035890276039461703,3.7672291881579256e-06
0.03704686610188823,3.6238080361077717e-06
0.03751270140887827,3.5104541380493113e-06
0.037690368560165236,3.3147656675156454e-06
0.038062128249902766,3.3147656675156424e-06
0.038768681485451595,3.3147656675156424e-06
0.04065232899218634,3.299483726271074e-06
0.04178942938069068,3.2994837262710725e-06
0.041804013388342436,3.1506597385793896e-06
0.042115165403983607,3.0292121896568908e-06
0.04222678820071265,3.0292121896568904e-06
0.042550307237776454,2.951300404538436e-06
0.0438984326522942,2.9324078213600716e-06
0.0441279916602516,2.7997492091134378e-06
0.04440994952842922,2.735112485979932e-06
0.04535984883187514,2.628434656443156e-06
0.04557390552191967,2.5543788548052067e-06
0.046486017475712245,2.5543788548052067e-06
0.04651796801003768,2.462533603802771e-06
0.04892802770605134,2.4625336038027706e-06
0.049348318282119163,2.4625336038027706e-06
0.0507274533352072,2.453192821141956e-06
0.05106847275258098,2.4220238534266847e-06
0.052092314925670596,2.422023853426683e-06
0.05259210152770528,2.4220238534266804e-06
0.05366510294553403,2.2339575723412225e-06
0.054082436751700096,2.2030014889651113e-06
0.054695014299773276,2.20300148896511e-06
0.05499469623352052,2.2030014889651096e-06
0.05507652610173617,2.1199658619403283e-06
0.05524684405618085,2.11996586194032e-06
0.05559450511818454,2.0652446880047527e-06
0.05589680734372642,2.0652446880047527e-06
0.05621275505026394,1.974624264536314e-06
0.05654960946190088,1.974624264536314e-06
0.05724432625606048,1.946617482224105e-06
0.059820104523520885,1.7827936869614784e-06
0.06107518613825631,1.7328942563035873e-06
0.06258503849609433,1.732894256303587e-06
0.06288998493315716,1.6879164397321238e-06
0.06325927330608869,1.6879164397321236e-06
0.0634829602709446,1.5984476166044416e-06
0.06412930716654404,1.5984476166044414e-06
0.06470371048052298,1.4943278868969937e-06
0.06680172633181317,1.494327886896993e-06
0.06855804885703752,1.4943278868969888e-06
0.06874048655456004,1.4531784965954543e-06
0.06889257969331757,1.401311536235106e-06
0.06970660864083703,1.4013115362351058e-06
0.07060177992701822,1.4013115362351056e-06
0.07207080584495563,1.3926189273083615e-06
0.07216555841730901,1.3768140798978793e-06
0.07254154491213409,1.3666835239984162e-06
0.07311014583014733,1.352899232424363e-06
0.07333389821841477,1.3528992324243628e-06
0.07355545758902446,1.3528992324243626e-06
0.07359682011375111,1.2968601960534762e-06
0.07380642787929484,1.2808739388068165e-06
0.07423284976570761,1.2808739388068165e-06
0.07453389760027963,1.2808183147637866e-06
0.07517671607663585,1.2070076640848072e-06
0.07552835495107807,1.176622452301491e-06
0.07671378651989562,1.0974896920793172e-06
0.0770885714651639,1.097489692079317e-06
0.07802092986179375,1.097489692079317e-06
0.0786016739639009,1.03314401246623e-06
0.07917381682087926,9.840705367423025e-07
0.08205888410745993,9.840705367423019e-07
0.08252094088859774,9.489816036949536e-07
0.08412779105984845,9.489816036719249e-07
0.08422761172611383,9.489816036719101e-07
0.08451446758207161,9.06123559274726e-07
0.08473229827626579,8.905941730202015e-07
0.08639858279623701,7.430347579193205e-07
0.08653376552925156,7.147120447529531e-07
0.08707028544750495,7.14712044752952e-07
0.0880900579808774,6.988456695522774e-07
0.08842240733188028,5.94296323057227e-07
0.08902168524541312,5.942963230572269e-07
0.08918219766213788,5.942963230572268e-07
0.09010550180075717,5.544146141512111e-07
0.0903134812155657,5.458861289542248e-07
0.09270967233112419,5.458861289542238e-07
0.09298081159629853,5.358517124143468e-07
0.09447051889313234,4.585231405876323e-07
0.09467517814110761,4.585231404762918e-07
0.09484299008676106,4.585231404762909e-07
0.09570570332810874,4.515721479670849e-07
0.09579054118997272,3.9017986625679594e-07
0.09620647747678061,3.620901386007765e-07
0.09627052471624495,3.535218534744558e-07
0.0985848209103687,3.0358292564725355e-07
0.0986352519057815,1.8891444189949298e-07
0.09909533881202175,1.8399272527067907e-07
0.09917665249982947,1.5989866361525055e-07
0.09919465861633242,1.598986636152505e-07
0.09921921640785678,9.637283021588729e-08
0.09958327990033214,9.637283021588697e-08
0.09964589671203004,9.637283021588612e-08
