r,w
0.0,0.03180269158096247
0.0019898377756347573,0.03180269158096247
0.002549423241156363,0.0003593479227602125
0.002964436926204454,0.0003593479227602116
0.0031673501749199333,9.019867517562506e-05
0.005335397892638252,2.333479789953821e-05
0.0061333424626104005,1.3108492096899586e-05
0.006641121996728176,1.2202969904652223e-05
0.006777985649449649,1.0612377764417423e-05
0.008348349653405432,9.982147884254954e-06
0.008488688426931578,9.920518406511832e-06
0.010278573635833005,8.89164145254869e-06
0.010859644696844334,5.8710727656725e-06
0.011947934773252372,4.152672380452791e-06
0.012307950219151067,4.079814136087531e-06
0.01631784231322703,4.079814136087531e-06
0.016405548914515233,3.924646214140004e-06
0.017275301273603667,3.7648836859718324e-06
0.01788086615908264,3.764883685971832e-06
0.018083762160841933,3.6638797506038953e-06
0.019252381109186326,3.491617504249574e-06
0.01989970782206842,3.4916175042495737e-06
0.021636768569149454,3.4916175042495733e-06
0.022983970264559235,3.3997360266396067e-06
0.024256423864825998,3.399736026639547e-06
0.026868849083335943,3.239467188122665e-06
0.029163419369939058,3.239467188122664e-06
0.029933062754828915,3.239467188122664e-06
0.030564396037232107,2.8328460406017093e-06
0.03141142199872446,2.747317602641851e-06
0.03149087897085582,2.4327368680108297e-06
0.03163255953107731,2.4327368680108284e-06
0.03510199564468581,2.3947174838915375e-06
0.035173105976614785,2.3947174838915366e-06
0.03643519230706599,2.3947174838915366e-06
0.03650752847259499,2.339762024192543e-06
0.04285384507239546,1.4772900647859475e-06
0.04290539076273724,1.477290064785947e-06
0.04325387457493359,1.4361721777394152e-06
0.04806871002634557,1.3630337634066384e-06
0.049759001401296056,1.0928547499107076e-06
0.05042818211476865,1.0540250556692864e-06
0.05114199903865869,1.016945520308067e-06
0.05230671293898168,9.944799198347913e-07
0.052547961378644856,9.857255939076696e-07
0.05332112705351451,9.338452787961145e-07
0.05432213618669649,9.29151970385483e-07
0.05524236209752783,8.931856211705208e-07
0.05768172087359862,8.931856211705206e-07
0.05769148619704401,8.931856211705202e-07
0.05864168039626019,7.434904328148284e-07
0.06168694266847019,7.434904328148284e-07
0.06364580845060636,7.171210193808828e-07
0.06505674391417197,6.953298293714575e-07
0.06612868589971262,6.855531853737952e-07
0.06737469343392713,6.682772710806106e-07
0.06787717074553828,5.901829889285766e-07
0.06997430094042993,5.266961957013369e-07
0.07001214775694196,5.158863038463246e-07
0.07216676824211711,5.04533284350535e-07
0.07279130252467556,4.49058424144664e-07
0.07369455341710268,4.234877078624646e-07
0.07394525245342622,4.234877078624645e-07
0.0756378259913997,4.219080528227383e-07
0.0758790338268436,3.992402211883679e-07
0.0761749372279671,3.9924022118748526e-07
0.0763207804392731,3.939759126102186e-07
0.07814786687232612,3.5461360386389506e-07
0.0788228519054576,3.54613603863895e-07
0.07912632094707588,3.454746503991291e-07
0.07973667321431384,3.2909984558926104e-07
0.08383993243377545,3.07445658321175e-07
0.08583654931395272,2.8837595234529163e-07
0.08588464269025156,2.5421552269877906e-07
0.08826514846813999,2.517854455074872e-07
0.08933881772636705,2.348522378265239e-07
0.09005375136103627,2.3333700878013346e-07
0.09220507031567206,2.3333700878013208e-07
0.09235736753176338,2.1010084485212716e-07
0.0932199117554876,2.101008448521228e-07
0.09336327619190504,2.1010084485212213e-07
0.0938832953734808,1.7645378358840296e-07
0.09540100424358966,1.6110708707909182e-07
0.0956683392707715,1.6110708707909171e-07
0.09567488492776474,1.6110708707909171e-07
0.09616870021277417,1.5295116803247522e-07
0.09695259089594965,1.0899955650125245e-07
0.0972153015932824,1.0899955650125245e-07
0.09761109121823462,1.0899955650125241e-07
0.09952786877255036,9.257733450610506e-08
