r,w
0.0,0.41878906457676496
0.005058802563618346,0.41878906457676485
0.005111276438903597,0.2010361963752196
0.005241130873018225,0.20103619637521958
0.006762383855699991,0.1667070951209124
0.009105607027371579,0.15533966706140462
0.009989270478280996,0.13880520152462766
0.01047085433697323,0.12523009227796478
0.01060623073320199,0.12523009227796475
0.011260651063295867,0.12523009227796475
0.0113169437885197,0.12163469882640734
0.011871871285420969,0.11791376855235183
0.015000517678062956,0.11311299640100275
0.015039185444570486,0.10436186643011448
0.015910831121571475,0.10436186643011448
0.017038134931214623,0.10114841390555948
0.0170714233576913,0.09888269778822356
0.01852601231621796,0.09702573716929337
0.01863026892856159,0.09702573716929337
0.01880708400807779,0.09524765261918341
0.018881546271526658,0.08429530641335901
0.021226798038700968,0.07334564638437627
0.02134114561450161,0.07334564638437627
0.021664272061590995,0.07334564638437627
0.022744297538333222,0.07099869109202585
0.023115990160379695,0.07020926863597869
0.023269225295298325,0.07020926863597868
0.023741296302699597,0.07020926863597866
0.024306974087466585,0.06734056346893423
0.024881146956818253,0.06476661356288761
0.026358170732704293,0.06306488667349879
0.027552830570981474,0.06129928636858832
0.027627040977222468,0.06062142764783028
0.029880941657160265,0.06047823502677544
0.029982786499517525,0.06014860289257646
0.030013306411265324,0.05929351494768812
0.031177808571561893,0.056748354544593954
0.03128753210127483,0.05674835454459394
0.032630811516357064,0.05594097057560617
0.03274426895183425,0.05594097057560617
0.03341755622018014,0.055940970575606166
0.0336640611542996,0.055742512924676364
0.034263515235858626,0.055404752803000376
0.034346465362837975,0.05540475280300037
0.03464106335926623,0.05540475280300036
0.03515898543127638,0.053639945170031775
0.03593282199298341,0.05295539395702725
0.0375491363847239,0.05295539395702724
0.038074833126718256,0.05295539395702723
0.0397314977964469,0.051356744943780105
0.03998761080486897,0.0513567449437801
0.04032353564537461,0.05118023283999173
0.04055404391906585,0.05118023283999173
0.04133519361725505,0.051179564061732866
0.0426640424597879,0.048772339718916057
0.04267137886033757,0.048772339718916036
0.04331809567743282,0.047942877508778875
