dist,measure
1.5874421055041642e-08,7.1520207951912275e-06
1.5874421055041642e-08,7.151986458974755e-06
1.5874421055041642e-08,7.0188688855673295e-06
1.5874421055041642e-08,7.018813120578258e-06
1.5874421055041642e-08,6.963814715728759e-06
1.5874421055041642e-08,6.963767723083815e-06
7.7402606674237e-08,6.7389776266342084e-06
7.7402606674237e-08,6.738944978627176e-06
7.7402606674237e-08,6.690737861033005e-06
7.7402606674237e-08,6.69069936697327e-06
7.7402606674237e-08,6.6250213626928e-06
7.7402606674237e-08,6.624988790995667e-06
1.7771670347841695e-07,6.6246653023085885e-06
1.7771670347841695e-07,6.6246375464356075e-06
1.7771670347841695e-07,6.389166588525372e-06
1.7771670347841695e-07,6.389088927408026e-06
1.7771670347841695e-07,6.350055493982066e-06
1.7771670347841695e-07,6.349990957224243e-06
4.166135798726933e-07,6.30612956162109e-06
4.166135798726933e-07,6.3061045100776646e-06
4.166135798726933e-07,6.2275957554763386e-06
4.166135798726933e-07,6.227547625273244e-06
4.166135798726933e-07,6.226278874839289e-06
4.166135798726933e-07,6.226257597291345e-06
6.613017359573888e-07,6.190276770210972e-06
6.613017359573888e-07,6.1902508136635665e-06
6.613017359573888e-07,6.187125796897952e-06
6.613017359573888e-07,6.187085942876225e-06
6.613017359573888e-07,6.056169648342533e-06
6.613017359573888e-07,6.0561476113577795e-06
8.827238520453644e-07,6.015527562573516e-06
8.827238520453644e-07,6.015503208068574e-06
8.827238520453644e-07,5.970166295087827e-06
8.827238520453644e-07,5.9701464219834234e-06
8.827238520453644e-07,5.870892992428801e-06
8.827238520453644e-07,5.870876831182211e-06
9.396893520728624e-07,5.774128730101612e-06
9.396893520728624e-07,5.774114740018502e-06
9.396893520728624e-07,5.750205492008254e-06
9.396893520728624e-07,5.750196719386136e-06
9.396893520728624e-07,5.7459976048048066e-06
9.396893520728624e-07,5.745973900687082e-06
1.665592348531238e-06,5.696401433269179e-06
1.665592348531238e-06,5.6963947410821636e-06
1.665592348531238e-06,5.617261965104081e-06
1.665592348531238e-06,5.617240775002904e-06
1.665592348531238e-06,5.561443608225976e-06
1.665592348531238e-06,5.561424586380106e-06
2.2823570158791185e-06,5.465728220821328e-06
2.2823570158791185e-06,5.465635721863338e-06
2.2823570158791185e-06,5.465006735702695e-06
2.2823570158791185e-06,5.464988936104018e-06
2.2823570158791185e-06,5.4584262724006065e-06
2.282357015879119e-06,5.458360741126195e-06
3.0191087260763474e-06,5.438970034740456e-06
3.0191087260763474e-06,5.438783888327284e-06
3.0191087260763474e-06,5.4321387870120256e-06
3.0191087260763474e-06,5.432138197637101e-06
3.0191087260763474e-06,5.420350541498538e-06
3.0191087260763474e-06,5.420296456522742e-06
3.499596265798754e-06,5.394973093604459e-06
3.499596265798754e-06,5.394961202464855e-06
3.499596265798754e-06,5.387627989761465e-06
3.499596265798754e-06,5.387584497812915e-06
3.499596265798754e-06,5.377609476664274e-06
3.499596265798754e-06,5.37757644098506e-06
3.701569661378656e-06,5.366469954686995e-06
3.701569661378656e-06,5.366469883527687e-06
3.701569661378656e-06,5.348079749217378e-06
3.701569661378656e-06,5.34796268814932e-06
3.701569661378656e-06,5.3431464119587715e-06
3.701569661378656e-06,5.343120835061987e-06
4.419114938460891e-06,5.323039840520312e-06
4.419114938460891e-06,5.322908863667223e-06
4.419114938460891e-06,5.279880880593462e-06
4.419114938460891e-06,5.279870315253504e-06
4.419114938460891e-06,5.275678807361091e-06
4.419114938460891e-06,5.275478361974951e-06
5.003987479854787e-06,5.264386266401378e-06
5.003987479854787e-06,5.2643365661905015e-06
5.003987479854787e-06,5.259629092259658e-06
5.003987479854787e-06,5.259625140022329e-06
5.003987479854787e-06,5.247122102443576e-06
5.003987479854787e-06,5.246800662948824e-06
7.186122684792304e-06,5.225465760665468e-06
7.186122684792304e-06,5.225464041023811e-06
7.186122684792304e-06,5.222185850428165e-06
7.186122684792304e-06,5.222153750059583e-06
7.186122684792304e-06,5.144600938960001e-06
7.186122684792304e-06,5.144546470682275e-06
7.940884657799566e-06,5.1257943500576585e-06
7.940884657799566e-06,5.125773497141508e-06
7.940884657799566e-06,5.1239940725734405e-06
7.940884657799566e-06,5.123937274030243e-06
7.940884657799566e-06,5.121089067959943e-06
7.940884657799566e-06,5.121051326260215e-06
8.070841907947475e-06,5.097985774119881e-06
8.070841907947475e-06,5.097975343761314e-06
8.070841907947475e-06,5.067996691238391e-06
8.070841907947475e-06,5.067862869277975e-06
8.070841907947475e-06,5.065495652107955e-06
8.070841907947475e-06,5.065494437879648e-06
9.37626691104968e-06,5.060833991111482e-06
9.37626691104968e-06,5.060822438931441e-06
9.37626691104968e-06,5.057820739981829e-06
9.37626691104968e-06,5.057786554086192e-06
9.37626691104968e-06,5.056728747382475e-06
9.37626691104968e-06,5.056550440063915e-06
1.1772477507436354e-05,5.0398817263445304e-06
1.1772477507436354e-05,5.039863587442585e-06
1.1772477507436354e-05,5.036315211880531e-06
1.1772477507436354e-05,5.03621843653197e-06
1.1772477507436354e-05,5.0074227289107205e-06
1.1772477507436354e-05,5.007403453259067e-06
1.228180896156875e-05,5.003584963896641e-06
1.228180896156875e-05,5.002759942657382e-06
1.228180896156875e-05,4.98502635857072e-06
1.228180896156875e-05,4.985025760146846e-06
1.228180896156875e-05,4.971858012773956e-06
1.228180896156875e-05,4.971854063516431e-06
1.3731880260802613e-05,4.957974263792247e-06
1.3731880260802613e-05,4.9578310686138454e-06
1.3731880260802613e-05,4.941370497997765e-06
1.3731880260802613e-05,4.9410924806876474e-06
1.3731880260802613e-05,4.939563648183114e-06
1.3731880260802613e-05,4.939547657639196e-06
1.5219807497030474e-05,4.929938462764386e-06
1.5219807497030474e-05,4.929905192885053e-06
1.5219807497030474e-05,4.912868172042614e-06
1.5219807497030474e-05,4.912831253119355e-06
1.5219807497030474e-05,4.904511773993718e-06
1.5219807497030474e-05,4.9040642665711475e-06
1.6581524343106023e-05,4.892469298285576e-06
1.6581524343106023e-05,4.892457983389893e-06
1.6581524343106023e-05,4.8891930671290955e-06
1.6581524343106023e-05,4.889152771131541e-06
1.6581524343106023e-05,4.8887858805006584e-06
1.6581524343106023e-05,4.888762337388872e-06
1.7963931397921436e-05,4.874688924217701e-06
1.7963931397921436e-05,4.8746741295088954e-06
1.7963931397921436e-05,4.867990162934774e-06
1.7963931397921436e-05,4.867982211326368e-06
1.7963931397921436e-05,4.862334156897988e-06
1.7963931397921436e-05,4.862254496266978e-06
2.039258211051384e-05,4.861028380106803e-06
2.039258211051384e-05,4.860989055962424e-06
2.039258211051384e-05,4.845305652392304e-06
2.039258211051384e-05,4.8452872414715015e-06
2.039258211051384e-05,4.8318070118788985e-06
2.039258211051384e-05,4.831686840647837e-06
2.1911837864625622e-05,4.819582889880224e-06
2.1911837864625622e-05,4.819374250980127e-06
2.1911837864625622e-05,4.774032092465734e-06
2.1911837864625622e-05,4.7739640267144e-06
2.1911837864625622e-05,4.765812675276412e-06
2.1911837864625622e-05,4.7657416266395285e-06
2.374727846824869e-05,4.7620573368881944e-06
2.374727846824869e-05,4.762056651292293e-06
2.374727846824869e-05,4.759907396742818e-06
2.374727846824869e-05,4.759897497204158e-06
2.374727846824869e-05,4.737182131104948e-06
2.374727846824869e-05,4.73477997319612e-06
2.4215845873566887e-05,4.734775648811632e-06
2.4215845873566887e-05,4.734706357709727e-06
2.4215845873566887e-05,4.721986218876696e-06
2.4215845873566887e-05,4.721857711529847e-06
2.4215845873566887e-05,4.700083152071636e-06
2.4215845873566887e-05,4.700056045644055e-06
2.5676542024670934e-05,4.695154500744022e-06
2.5676542024670934e-05,4.695138688453061e-06
2.5676542024670934e-05,4.686336206701705e-06
2.5676542024670934e-05,4.6862897608869354e-06
2.5676542024670934e-05,4.683940685297318e-06
2.5676542024670934e-05,4.683891972654351e-06
3.261332996019501e-05,4.6789975064570925e-06
3.261332996019501e-05,4.678947602315227e-06
3.261332996019501e-05,4.6751932056873685e-06
3.261332996019501e-05,4.6751449265639495e-06
3.261332996019501e-05,4.658404352261855e-06
3.261332996019501e-05,4.658398870531867e-06
3.571025708998821e-05,4.6583928534203566e-06
3.571025708998821e-05,4.658369140503399e-06
3.571025708998821e-05,4.643517226052527e-06
3.571025708998821e-05,4.643470514020764e-06
3.571025708998821e-05,4.641917219682252e-06
3.571025708998821e-05,4.64181012614039e-06
3.6104180528607056e-05,4.634387211920724e-06
3.6104180528607056e-05,4.634183148880377e-06
3.6104180528607056e-05,4.631970107905558e-06
3.6104180528607056e-05,4.631928257220889e-06
3.6104180528607056e-05,4.63137984206503e-06
3.6104180528607056e-05,4.631330521826701e-06
3.795657365982614e-05,4.631129782946135e-06
3.795657365982614e-05,4.631115099804485e-06
3.795657365982614e-05,4.625228951937681e-06
3.795657365982614e-05,4.625180075286143e-06
3.795657365982614e-05,4.617915070842374e-06
3.795657365982614e-05,4.6178755112320956e-06
3.871017250780435e-05,4.611373410980995e-06
3.871017250780435e-05,4.6112877377429556e-06
3.871017250780435e-05,4.596034904994944e-06
3.871017250780435e-05,4.5960277308930126e-06
3.871017250780435e-05,4.58647063792843e-06
3.871017250780435e-05,4.586428046463605e-06
4.1357066257903356e-05,4.580667295304271e-06
4.1357066257903356e-05,4.580582928830013e-06
4.1357066257903356e-05,4.578023280278267e-06
4.1357066257903356e-05,4.578015619524882e-06
