dist,measure
5.0247137806679296e-14,7.363514278927652e-07
5.252468367528046e-14,4.2898882060966736e-07
2.1895554319641734e-13,2.8509824776989125e-07
2.2629189881139238e-13,2.6014923371777326e-07
2.6119040715795826e-13,1.960020190175736e-07
2.9089063681083334e-13,1.8443813122886822e-07
5.018755038239442e-13,1.765033745071527e-07
5.388686271500986e-13,1.7231643296250103e-07
1.2686456582729612e-12,1.6555964527202997e-07
1.4810394527980875e-12,1.431360494869881e-07
1.5154826455810954e-12,1.4204935650787272e-07
1.8650351601738566e-12,1.4048411776776062e-07
1.884457396052601e-12,1.319074743548966e-07
3.095653441987875e-12,1.3001655221567095e-07
3.2582731407389907e-12,1.1842579008810826e-07
4.7393859530664245e-12,1.1643271261053921e-07
5.6679203319638305e-12,1.1586418375596702e-07
6.626301478094937e-12,1.0889018686235664e-07
8.23651800475624e-12,1.0336830804965323e-07
9.457145571134334e-12,1.0230606627600578e-07
9.68225822335696e-12,1.0197588140989582e-07
9.963064512644548e-12,9.984418492603054e-08
1.1267655680065425e-11,9.98071112691535e-08
1.1296834845450501e-11,9.56846369318702e-08
2.2194047845152058e-11,9.402660760435323e-08
3.289911371005089e-11,9.106025333187366e-08
3.4088414109947584e-11,8.99348161824261e-08
4.180434673038432e-11,8.869721991951437e-08
4.7662175449504384e-11,8.804509407791257e-08
5.05997135472582e-11,8.781485764888542e-08
5.4497943064536296e-11,8.728201423585229e-08
5.563264692812771e-11,8.611224225542666e-08
6.00947386769244e-11,8.494842158796034e-08
6.495186332605463e-11,8.148917598733712e-08
6.523155986320528e-11,8.092089697071357e-08
6.883060199632229e-11,8.033148800675933e-08
7.279543050761914e-11,7.462521930726658e-08
7.523385871655332e-11,7.404264845135178e-08
8.67855113995447e-11,7.322086427429455e-08
9.233109269542541e-11,7.22499388239187e-08
9.296405826224136e-11,7.10931046007559e-08
9.487646091073917e-11,6.961270761429468e-08
1.0152851543213809e-10,6.923083567643416e-08
1.0159233213142484e-10,6.900854204337064e-08
1.0653751988921921e-10,6.842344291039704e-08
1.070048962396704e-10,6.831627298086293e-08
1.0761580273981458e-10,6.646638682172083e-08
1.231926529147511e-10,6.640394185841986e-08
1.2708333207768317e-10,6.508203820701409e-08
1.6411679370548172e-10,6.412755457733243e-08
1.806630645367999e-10,6.35836253518928e-08
1.8517993324955918e-10,6.311935872899468e-08
2.3797771395752076e-10,6.30446215511507e-08
2.560430659822097e-10,6.221902122493765e-08
2.8186258399558026e-10,6.197904775393348e-08
2.8529618395657907e-10,6.137798405392556e-08
2.9619461267874e-10,6.10880968107478e-08
3.057121855395739e-10,6.077687978340124e-08
3.131007554672842e-10,6.027229623519027e-08
3.1706105954143046e-10,5.920545118673357e-08
3.295967180894136e-10,5.8820801567211306e-08
3.5677838667334913e-10,5.8558049684076924e-08
3.9864000573593303e-10,5.788196330980128e-08
4.1520673430940344e-10,5.604509504757834e-08
4.5120166345306216e-10,5.5764707466404656e-08
4.566262435032309e-10,5.5646150010178076e-08
4.576119409890699e-10,5.53677621413723e-08
4.5861247688567675e-10,5.528253228288054e-08
4.83707430617574e-10,5.518963864491342e-08
5.402136095259036e-10,5.510650085409247e-08
5.804097585447074e-10,5.476685292026838e-08
5.889031586236807e-10,5.4631148201707584e-08
5.905573948586652e-10,5.43080049015486e-08
6.362545195738077e-10,5.320374559303991e-08
7.402384726364578e-10,5.2261046500367874e-08
7.450473814500261e-10,5.2076031917198353e-08
7.565896338815746e-10,5.189110550261881e-08
7.667643241379492e-10,5.157221953678248e-08
7.895803585124684e-10,5.054467565181168e-08
8.614832883987993e-10,5.0396160661006845e-08
1.0244452375451178e-09,4.876088016023904e-08
1.0276603906002912e-09,4.869394337909754e-08
1.0410680039375528e-09,4.8323031215053104e-08
1.1563169858444736e-09,4.77825284057397e-08
1.1790666439541217e-09,4.767012431969274e-08
1.203896052324768e-09,4.762401578150365e-08
1.2622195749106081e-09,4.704387927666839e-08
1.2794606662866488e-09,4.666131796351153e-08
1.2974508652282954e-09,4.665705888011762e-08
1.3194436888728116e-09,4.652269512048549e-08
1.3957545808559324e-09,4.644740619948445e-08
1.5198282696647998e-09,4.588545902265185e-08
1.582024791257691e-09,4.449117996569971e-08
1.6343535838209405e-09,4.420358241018681e-08
1.8353473768996991e-09,4.399701318912915e-08
1.988318715161613e-09,4.349397095682068e-08
2.0440920881963225e-09,4.330662599579603e-08
2.084871340527137e-09,4.319925530542257e-08
2.1205401420415045e-09,4.284791500147581e-08
2.1413838190005656e-09,4.234611791660255e-08
2.1740782256536566e-09,4.2127792594909685e-08
2.2103837868437332e-09,4.199166686591265e-08
2.2326157035296466e-09,4.0766384731255136e-08
2.3833337436067966e-09,4.068314590106876e-08
2.4489168203673337e-09,4.0623951032776385e-08
2.5365804085265344e-09,4.042977634075418e-08
2.598880417747476e-09,4.01470619195496e-08
2.691923027896651e-09,4.011937773438669e-08
2.772920471180324e-09,3.942954961086886e-08
2.77333536111871e-09,3.8869369244191066e-08
2.840966286195557e-09,3.8173029257187836e-08
2.84172114716189e-09,3.812205861134632e-08
2.8440896206819883e-09,3.8066489277525526e-08
2.955725070015339e-09,3.750326324664798e-08
3.0381976216138094e-09,3.692673986755124e-08
3.0473283399077116e-09,3.660023418668122e-08
3.11218637588748e-09,3.608981983543676e-08
3.1843676046281073e-09,3.5771526038872286e-08
3.323718117660276e-09,3.559354051336931e-08
3.518582628435622e-09,3.547820760000838e-08
3.525832130691116e-09,3.4976256912076135e-08
3.5277491029402198e-09,3.4955420291456373e-08
3.6777295463091157e-09,3.4894566164240155e-08
3.7060105020866502e-09,3.485752439018643e-08
3.794019999365132e-09,3.484981755872083e-08
4.153519081211348e-09,3.4589681669541867e-08
4.188202774673408e-09,3.451386571938846e-08
4.244319239703482e-09,3.394775638902442e-08
4.393426453156954e-09,3.3189410979932276e-08
4.503357731444577e-09,3.299429020018507e-08
4.56544412152103e-09,3.269769707707032e-08
4.856634157932376e-09,3.228715158901309e-08
4.930991542894092e-09,3.228319786446178e-08
4.9752333458480015e-09,3.187646276667386e-08
4.989005559759914e-09,3.143438373897011e-08
5.583689938285554e-09,3.10451625615422e-08
5.783634162432245e-09,3.0631596266571244e-08
6.012919076719324e-09,3.061461596956973e-08
6.0589040577798e-09,3.0185503106707345e-08
6.126341232298732e-09,2.9420972498124168e-08
6.290392544115003e-09,2.9349506075487185e-08
6.779317619967e-09,2.9247128053631954e-08
6.9567244374111404e-09,2.9145310585185536e-08
7.034327694068978e-09,2.9130516601523252e-08
7.481779985468855e-09,2.9029895862492025e-08
7.563359541895578e-09,2.8427269145896313e-08
7.834897622251573e-09,2.7499157061462624e-08
7.963527407781937e-09,2.7145777045081392e-08
8.046292725955269e-09,2.7093850578534064e-08
8.08317265348096e-09,2.6857493223348207e-08
8.243016835872831e-09,2.6831372300546848e-08
8.2653442961549e-09,2.6708648129531856e-08
8.849236954508562e-09,2.6606641691814632e-08
8.990602975398289e-09,2.6219434781530444e-08
9.02952426475051e-09,2.5989053721754977e-08
9.417395802612334e-09,2.54263515431066e-08
9.483534533962659e-09,2.530945350298947e-08
1.1250546927685433e-08,2.5229320400793673e-08
1.1692105618440351e-08,2.5205864306503058e-08
1.183891240465787e-08,2.49401073336692e-08
1.209121831643745e-08,2.4544716262182096e-08
1.2129716111820188e-08,2.4326269508875926e-08
1.2228463043184781e-08,2.4284099371187585e-08
1.224749937493294e-08,2.4236547458426363e-08
1.2416054979903316e-08,2.4176216644082024e-08
1.2504186307895256e-08,2.4110916708927517e-08
1.2639148545887462e-08,2.373374764679291e-08
1.2663514022672922e-08,2.3626937747884313e-08
1.2923014874121993e-08,2.3426957043859493e-08
1.3194673852990137e-08,2.3341123925059988e-08
1.3367273204556055e-08,2.3230419091645264e-08
1.4226049893930978e-08,2.3219605791211807e-08
1.427115629242147e-08,2.321321481609038e-08
1.4333043103272759e-08,2.3083087170870507e-08
1.4416691589924264e-08,2.301205121597607e-08
1.4435876170653011e-08,2.29676938953856e-08
1.4460898483589875e-08,2.2948747260474733e-08
1.5522118345092598e-08,2.2900067161077256e-08
1.563449201581838e-08,2.2840576636146297e-08
1.6336948893247074e-08,2.2836918337509335e-08
1.6511515985562476e-08,2.2788466430969654e-08
1.707298346739231e-08,2.2692078581323818e-08
1.7102346190343958e-08,2.265718181907138e-08
1.712598393312069e-08,2.2404547996446574e-08
1.7297863578003458e-08,2.2308836260099703e-08
1.739847515304795e-08,2.2172057083562464e-08
1.8258234120438727e-08,2.1564478693568643e-08
1.8310209541839926e-08,2.123621445225438e-08
1.843042511156879e-08,2.1231588362075588e-08
1.970949273682481e-08,2.100464796378527e-08
1.9976071255820873e-08,2.0791785576317445e-08
2.0225897559959253e-08,2.0631367222857567e-08
2.0449541132927286e-08,2.0359388799194662e-08
2.0580694403832774e-08,2.0128379714340195e-08
2.0820214648248392e-08,1.9977272058861463e-08
2.1069065902624622e-08,1.9972125820890267e-08
2.12186281318559e-08,1.9962362291499996e-08
2.1361536066228984e-08,1.9573673794490572e-08
2.1454996118922438e-08,1.942212285443062e-08
2.1935856656726805e-08,1.9353270649156103e-08
2.2102082008681192e-08,1.9312897482163436e-08
2.2844535128465835e-08,1.912118004263865e-08
2.3291156253984358e-08,1.8794602676531683e-08
2.3990740210363858e-08,1.867818400199108e-08
2.4626574074641714e-08,1.8676506920978626e-08
2.5125784309909692e-08,1.855760101254021e-08
2.5386165141584243e-08,1.834201723533636e-08
2.5599391261554584e-08,1.8088792554138934e-08
2.5958466369472257e-08,1.7950827031485006e-08
2.7291194609625257e-08,1.789646956348198e-08
2.7482770953131783e-08,1.7879208466906313e-08
2.840658900638844e-08,1.7839625241826622e-08
2.8631277465798064e-08,1.781567408145311e-08
2.936926989165087e-08,1.7807211028409862e-08
3.118527468612673e-08,1.7676382161703425e-08
3.125010724318197e-08,1.7573493542225805e-08
3.346720871795371e-08,1.747910274630905e-08
3.351635435264854e-08,1.7237094607620998e-08
3.4049026552877176e-08,1.720157746395622e-08
3.4068216767733544e-08,1.7181220473422034e-08
3.445470981726922e-08,1.713959886573491e-08
3.502246531982869e-08,1.712566693679902e-08
3.503368929906633e-08,1.7038783261731915e-08
3.516366421055151e-08,1.6870494379140447e-08
3.623499197008795e-08,1.6755631682207806e-08
3.659600963137315e-08,1.6662917145604744e-08
3.729728262402857e-08,1.666174796148143e-08
3.757601418323232e-08,1.6441348014333402e-08
3.811025175796038e-08,1.6200712018232124e-08
3.938825601695834e-08,1.6082837641265172e-08
3.948966235487815e-08,1.6067686024632785e-08
3.976908400546815e-08,1.5615460204065155e-08
3.994571090584594e-08,1.5381074747944443e-08
4.064826875942435e-08,1.537168868731921e-08
4.070127173391281e-08,1.530388786698477e-08
4.172286783245444e-08,1.522085046766304e-08
4.220023609118819e-08,1.506343737485111e-08
4.273888972378516e-08,1.496807959288205e-08
4.2888506746110304e-08,1.4859513500554136e-08
4.36141976723287e-08,1.4801771440222348e-08
4.368504244246397e-08,1.463837550245977e-08
4.436113990703325e-08,1.4528463257939118e-08
4.558159486151858e-08,1.4487953041515165e-08
4.63437213659095e-08,1.4450377084193731e-08
4.664301648081088e-08,1.444434353981197e-08
4.769135840214928e-08,1.420369935952687e-08
4.8655821371847856e-08,1.4184046606242143e-08
4.8945179392900415e-08,1.4043503787586028e-08
4.946300026781585e-08,1.4011649325682882e-08
5.190340657617718e-08,1.3926602140189189e-08
5.23948245084273e-08,1.3771203335245876e-08
5.3327407609759066e-08,1.3741785156456706e-08
5.5885131493646996e-08,1.3572271574176718e-08
6.028950666772052e-08,1.354855458487863e-08
6.074518069889952e-08,1.3524095017039586e-08
6.1463648587021e-08,1.3489541510875504e-08
6.200841880879485e-08,1.3445498203095527e-08
6.341867621418916e-08,1.3434894180041283e-08
6.348798789103138e-08,1.330485480309944e-08
6.539439894430569e-08,1.3264772740254715e-08
6.558545173377919e-08,1.3240063877492358e-08
6.83504884401906e-08,1.3205668415094229e-08
6.861393528726381e-08,1.3137131375698076e-08
6.898911638612187e-08,1.3083936589586421e-08
7.004349373559396e-08,1.3045153881602262e-08
7.270768508167118e-08,1.2989936468015454e-08
7.306785220035317e-08,1.2967468114324545e-08
7.415113986486312e-08,1.2733334966353279e-08
7.451955197835455e-08,1.2722666642198624e-08
7.473697071464097e-08,1.2644670904893841e-08
7.57289350314126e-08,1.2515727975175055e-08
7.602581455834007e-08,1.2484348755437138e-08
7.631902464811618e-08,1.2478181069150905e-08
7.64424870462895e-08,1.2459103378668743e-08
7.84544099984708e-08,1.2364843006993074e-08
7.8549777600325e-08,1.2261699301594772e-08
8.032530485064398e-08,1.219310152102025e-08
8.063577946781312e-08,1.2154116158941165e-08
8.093375861175407e-08,1.2091147295444228e-08
8.254882031699705e-08,1.1830060626516456e-08
8.30523615882922e-08,1.1828937611816253e-08
8.317901495951652e-08,1.1805411845074969e-08
8.427083483863621e-08,1.1787588932340885e-08
8.433937569087693e-08,1.1777307220465875e-08
8.705867773276671e-08,1.1735987891421023e-08
8.837454759887055e-08,1.15223512562842e-08
8.99043972449469e-08,1.1522141430023833e-08
9.037759995644023e-08,1.1502002635163198e-08
9.064096289289206e-08,1.1384073922818598e-08
9.186093601262357e-08,1.1362988260675558e-08
9.401400966702023e-08,1.1264586824047473e-08
9.574523500201621e-08,1.1246471169804586e-08
9.679171741163368e-08,1.118738868375939e-08
9.707650802841695e-08,1.1112883517921175e-08
1.010139063140118e-07,1.102897435670646e-08
1.0704225788438237e-07,1.0805558424339132e-08
1.0753737564004913e-07,1.0696027761391819e-08
1.0802606914132074e-07,1.0636874869907882e-08
1.0806551776881662e-07,1.0613735096483283e-08
1.1015733679930866e-07,1.0591273085046938e-08
1.1086064616111133e-07,1.0329277933644256e-08
1.1237065622359419e-07,1.0317673330398825e-08
1.1404057296018688e-07,1.0296514813263698e-08
1.1427853318962144e-07,1.0291627012537657e-08
1.1845179742102123e-07,1.0281243846621183e-08
1.1998899122174653e-07,1.0134048901207526e-08
1.2003438140848302e-07,1.0132510607625073e-08
1.2240676793451186e-07,1.0110529710377968e-08
1.2300872169171123e-07,1.0082913745048136e-08
1.233483897661255e-07,1.0057966698470815e-08
1.241259410931016e-07,9.980456132736689e-09
1.2420415655536089e-07,9.963468795802141e-09
1.2488542253019127e-07,9.852569604426367e-09
1.248882881361851e-07,9.767577814609685e-09
1.25552504544162e-07,9.765659200156359e-09
1.276142783117124e-07,9.758231019412572e-09
1.308953630317659e-07,9.72437421204429e-09
1.3549696726709627e-07,9.615692152322323e-09
1.3742304374169235e-07,9.486022866577038e-09
1.3837060968363444e-07,9.451991387521459e-09
1.4063894279000706e-07,9.414995232309988e-09
1.4276123293518103e-07,9.375032537061817e-09
1.4352596408394646e-07,9.34353254781109e-09
1.4537293633222352e-07,9.3191626369458e-09
1.492349497632431e-07,9.267567628839737e-09
1.5039861064258623e-07,9.265404119555523e-09
1.5059356333105376e-07,9.235317421531966e-09
1.5336906820167056e-07,9.163527632198538e-09
1.5346854358340203e-07,9.147041727228098e-09
1.5390102584321244e-07,9.111877118587445e-09
1.5780207810721427e-07,9.104050677912816e-09
1.585397292200167e-07,8.952550229217491e-09
1.585765018809007e-07,8.942111697050207e-09
1.603276773383569e-07,8.831324918116874e-09
1.6037459457699907e-07,8.799184787239804e-09
1.609754797585278e-07,8.795424360253338e-09
1.6839553320093093e-07,8.763153910517466e-09
1.7271647351351676e-07,8.711271964915942e-09
1.7981327558524655e-07,8.66412547077624e-09
1.8291220628162575e-07,8.656738605832203e-09
1.870102628787138e-07,8.655074197664617e-09
1.891357426339589e-07,8.648281143151075e-09
1.8975214999717886e-07,8.612149711763525e-09
1.9124264210177666e-07,8.569715304012906e-09
1.9366946094071144e-07,8.557919059188664e-09
1.9485192510280327e-07,8.557897999802723e-09
1.975782281043027e-07,8.549514335371283e-09
2.0376399165819687e-07,8.546455015084421e-09
2.0497173043512897e-07,8.543001519965153e-09
2.1023366899352535e-07,8.519040138205417e-09
2.1323266262969748e-07,8.497379609627696e-09
2.1326861465827767e-07,8.494331062936387e-09
2.1487628348125455e-07,8.49228443440968e-09
2.1540891740196947e-07,8.487458990386369e-09
2.201484358844728e-07,8.48643179993496e-09
2.2134312287676012e-07,8.460102718546239e-09
2.2199146199689327e-07,8.432988074311279e-09
2.2347782115601799e-07,8.321096786379687e-09
2.2564903523487787e-07,8.278241998342488e-09
