gamma,mu,q
0.0,0.14339487781725266,0.6750635453304279
0.03103448275862069,0.1413704736598328,0.6929445134465885
0.06206896551724138,0.1391758247193755,0.7097710497039481
0.09310344827586206,0.13616694116745728,0.7304743196520133
0.12413793103448276,0.13170217812014484,0.7521932053001446
0.15517241379310345,0.1273481258923982,0.7742522776720663
0.18620689655172412,0.12310503970074152,0.7968687289146812
0.21724137931034482,0.11897203281399174,0.819924769864892
0.2482758620689655,0.11494718237687875,0.8182744207698059
0.2793103448275862,0.1109831085959798,0.8159771968959278
0.3103448275862069,0.10699653866070837,0.8138421139298601
0.3413793103448276,0.10304161411741436,0.8118604177872101
0.37241379310344824,0.09916203841228316,0.8100217996293937
0.40344827586206894,0.09535863139257204,0.8083144240455071
0.43448275862068964,0.09163180523617015,0.8067249121648299
0.46551724137931033,0.08798157179887141,0.8196659643555162
0.496551724137931,0.08440754901562511,0.8625691640173546
0.5275862068965517,0.0807203964673403,0.9069049818454984
0.5586206896551724,0.07693716776618396,0.952401592114247
0.5896551724137931,0.07040754326952758,0.9879434969188131
0.6206896551724138,0.06300722847005312,1.0320824259307488
0.6517241379310345,0.055496224801457425,1.1323166072396977
0.6827586206896552,0.04791223773205796,1.2391658713553726
0.7137931034482758,0.04030863213783839,1.3521923247901946
0.7448275862068965,0.03276174127394794,1.4702538290737823
0.7758620689655172,0.025383081988492578,1.5910278717125934
0.8068965517241379,0.016819224497702165,1.7102875769352646
0.8379310344827586,0.009393045207251649,1.8209669213948063
0.8689655172413793,0.00397037948155511,1.9125534335117773
0.9,0.0009808644447424077,1.9729198191148114
