dist,measure
1.0745183373721021e-07,5.132539342563573e-05
1.1028217313576842e-07,4.5060532589155245e-05
2.0602045372725827e-07,2.9497375953555212e-05
2.1944956825419045e-07,2.9485306128120167e-05
2.2159386504382144e-07,2.9344130529437586e-05
2.6702430539256284e-07,2.8919821092830655e-05
3.0192726064179995e-07,2.8786639762708595e-05
3.560888150580211e-07,2.8362093267974246e-05
5.949721235421476e-07,2.834249374411194e-05
6.442239250946424e-07,2.8324373275124113e-05
6.571732759872955e-07,2.823967133769534e-05
6.578208459909071e-07,2.784508008255652e-05
6.752629488783322e-07,2.7783053894147268e-05
9.144278450254536e-07,2.7673605539793517e-05
1.0205692860679555e-06,2.7625783404774304e-05
1.2671118432148855e-06,2.7191323270462785e-05
1.4157222948100572e-06,2.7036569387301875e-05
1.4258519879176782e-06,2.684573609361081e-05
1.5409866168670018e-06,2.6682017267076064e-05
1.6099530062944852e-06,2.6638072650913973e-05
1.7560619051521402e-06,2.6495958756850024e-05
1.8156107480705469e-06,2.6342719293361235e-05
1.8892215720419258e-06,2.6276867248202333e-05
2.0380044560419763e-06,2.613112294519424e-05
2.89308959015158e-06,2.6079289300379533e-05
3.294889150019626e-06,2.597852526604719e-05
3.5869151855317544e-06,2.558309984784701e-05
3.7959028518065196e-06,2.5367267469228907e-05
3.856553108102481e-06,2.516947211360268e-05
4.076879082406253e-06,2.513141120826398e-05
4.102921027569206e-06,2.5092151063808658e-05
4.225674351732108e-06,2.5057265173141272e-05
4.744642048343776e-06,2.5055706593400408e-05
4.781669450109453e-06,2.478823319823717e-05
4.840163640896955e-06,2.4784781347499056e-05
5.010818333405774e-06,2.4494248245281217e-05
5.214435223717557e-06,2.448316232372952e-05
5.32862946753642e-06,2.4473424806567162e-05
5.351335671305041e-06,2.440826261300939e-05
5.686499920806589e-06,2.433263471072018e-05
6.056378992079466e-06,2.4320637577160813e-05
6.148992244854488e-06,2.3946735305835748e-05
6.207419180547492e-06,2.374154856246707e-05
6.211997636235216e-06,2.359719581239385e-05
6.502692607711801e-06,2.34291204823191e-05
6.590662104072088e-06,2.3377103582878318e-05
6.70492960480572e-06,2.331191389176578e-05
6.716697897387321e-06,2.3191733855601923e-05
6.927220961684309e-06,2.3146676822643248e-05
8.44495609418184e-06,2.304850860312462e-05
8.781180560493031e-06,2.295324218308378e-05
9.031568391666433e-06,2.293020720896447e-05
9.352256261676165e-06,2.266265718948659e-05
9.995627641173382e-06,2.2655636649315358e-05
